entorno_ejecucion,motor,doc_id,nombre_pdf,ruta_relativa_repo,ruta_absoluta_pdf,page_index,campo,valor_gold,valor_pred,exactitud_binaria,tiempo_pagina_s,len_texto_pagina,fecha_corrida
WSL2 Ubuntu (preferente D-12),tesseract_baseline,ri-debedsar-amiquero-2026,ri-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,1,ruc_emisor,20380795907,20380795907,1,0.0465,1240,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,ri-debedsar-amiquero-2026,ri-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,1,tipo_documento,ri,,0,0.0465,1240,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,ri-debedsar-amiquero-2026,ri-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,1,serie_numero,900-4-2026,,0,0.0465,1240,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,ri-debedsar-amiquero-2026,ri-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,1,fecha_emision,2026-04-07,2026-04-07,1,0.0465,1240,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,ri-debedsar-amiquero-2026,ri-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,1,moneda,PEN,PEN,1,0.0465,1240,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,ri-debedsar-amiquero-2026,ri-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,1,monto_subtotal,,,N/A,0.0465,1240,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,ri-debedsar-amiquero-2026,ri-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,1,monto_igv,,,N/A,0.0465,1240,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,ri-debedsar-amiquero-2026,ri-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,1,monto_total,138.70,,0,0.0465,1240,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,ri-debedsar-amiquero-2026,ri-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,1,ruc_receptor,,,N/A,0.0465,1240,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,ri-debedsar-amiquero-2026,ri-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/ri-debedsar-amiquero-2026.pdf,1,razon_social_emisor,,,N/A,0.0465,1240,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,1,ruc_emisor,20380795907,,0,0.035,1226,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,1,tipo_documento,solicitud_viaticos,solicitud_viaticos,1,0.035,1226,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,1,serie_numero,00233,,0,0.035,1226,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,1,fecha_emision,2026-01-27,2026-01-27,1,0.035,1226,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,1,moneda,PEN,,0,0.035,1226,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,1,monto_subtotal,,,N/A,0.035,1226,2026-04-14
